Row ID,#water_source,#water_tech,Water Source Type
92483,Protected Well (no pump),Bucket,Protected dug well
29176,Shallow well,Nira/Tanira Hand pump,Protected dug well
225408,,Deep borehole,Borehole or tubewell
391892,Borehole,Manual/foot-Afridev,Borehole or tubewell
272278,,Deep borehole,Borehole or tubewell
195682,,DUG WELL,Unprotected dug well
67932,Pump on hand-dug well,India Mark,Protected dug well
290056,,Shallow well,Unprotected dug well
220697,,Deep borehole,Borehole or tubewell
160879,Others (eg Public tap/standpipe),,Public tap or standpipe
323938,,Yard tap for public use,Piped into public tap or basin
229213,,Protected spring,Protected spring
32299,Spring,KSB Communal standpipe,Protected spring
84190,Pump on hand-dug well,Unidentified,Protected dug well
64393,Standpipe or Tapstand,,Public tap or standpipe
288399,,Shallow well,Unprotected dug well
239876,,Shallow well,Unprotected dug well
263123,,Shallow well,Unprotected dug well
293033,,Rainwater Harvest Tank,Rainwater
150738,Stand Post,,Public tap or standpipe
386938,Borehole,,Borehole or tubewell
100686,Protected Well (no pump),Bucket,Protected dug well
262045,,Rainwater Harvest Tank,Rainwater
24561,River/Lake,Gravity Communal standpipe,Surface water
219348,,Protected spring,Protected spring
213288,,Rainwater Harvest Tank,Rainwater
60456,,Non-Mechanized Borehole,Borehole or tubewell
309378,,Rainwater Harvest Tank,Rainwater
179033,,STAND POST,Public tap or standpipe
49256,Shallow well,SWN 80 Hand pump,Protected dug well
96291,Pump on hand-dug well,Unidentified,Protected dug well
81792,Pump on hand-dug well,Kardia,Protected dug well
143186,Stand Post,,Public tap or standpipe
78850,Standpipe or Tapstand,,Public tap or standpipe
150753,Tube Well,PAMIR,Borehole or tubewell
192382,,TUBE WELL,Borehole or tubewell
126835,Stand Post,,Public tap or standpipe
1608,,DUG WELL,Unprotected dug well
299212,,Rainwater Harvest Tank,Rainwater
274625,,Protected spring,Protected spring
214891,,Rainwater Harvest Tank,Rainwater
55064,Machine-drilled borehole,Mono Communal standpipe multiple,Borehole or tubewell
177793,Manual pump on hand-dug well,Afridev,Protected dug well
333231,gravity fed standpipe,no pump,Piped into public tap or basin
110301,Standpipe or Tapstand,,Public tap or standpipe
215746,,Rainwater Harvest Tank,Rainwater
287827,,Rainwater Harvest Tank,Rainwater
263042,,Rainwater Harvest Tank,Rainwater
142584,Tube Well,PAMIR,Borehole or tubewell
335028,Protected dug well,Hand Pump|Afridev,Protected dug well
320364,,Public Stand Post,Public tap or standpipe
257008,,Shallow well,Unprotected dug well
310799,,Public Stand Post,Public tap or standpipe
93290,Pump on hand-dug well,India Mark,Protected dug well
295685,,Protected spring,Protected spring
199072,,DUG WELL,Unprotected dug well
309592,,Rainwater Harvest Tank,Rainwater
94909,Pump on borehole,India Mark,Borehole or tubewell
195810,,DUG WELL,Unprotected dug well
271109,,Yard tap for public use,Piped into public tap or basin
273333,,Deep borehole,Borehole or tubewell
100112,Pump on hand-dug well,India Mark,Protected dug well
226380,,Shallow well,Unprotected dug well
193479,,TUBE WELL,Borehole or tubewell
207445,,Public Stand Post,Public tap or standpipe
215245,,Deep borehole,Borehole or tubewell
59708,,Mechanized Borehole-Grid,Borehole or tubewell
143813,Stand Post,,Public tap or standpipe
254086,,Deep borehole,Borehole or tubewell
64576,Pump on hand-dug well,Unidentified,Protected dug well
31523,Shallow well,Nira/Tanira Hand pump,Protected dug well
69567,Standpipe or Tapstand,,Public tap or standpipe
286060,,Rainwater Harvest Tank,Rainwater
338434,Tube well or borehole,Submersible pump|Electricity,Borehole or tubewell
18534,Shallow well,None Hand pump,Protected dug well
3829,,DUG WELL,Unprotected dug well
313274,,Yard tap for public use,Piped into public tap or basin
323405,,Public Stand Post,Public tap or standpipe
77302,Pump on hand-dug well,India Mark,Protected dug well
388286,Borehole,IMK II,Borehole or tubewell
146539,Tube Well,INDUS,Borehole or tubewell
325731,gravity fed standpipe,no pump,Piped into public tap or basin
60205,,Non-Mechanized Borehole,Borehole or tubewell
17395,Machine-drilled borehole,Mono Cattle trough,Borehole or tubewell
32517,River/Lake,Gravity Communal standpipe,Surface water
263024,,Deep borehole,Borehole or tubewell
81745,Standpipe or Tapstand,,Public tap or standpipe
158174,Tube Well,PAMIR,Borehole or tubewell
66560,Standpipe or Tapstand,,Public tap or standpipe
57725,,Non-Mechanized Borehole,Borehole or tubewell
164938,Manual pump on hand-dug well,India Mark,Protected dug well
29919,River/Lake,Gravity Communal standpipe,Surface water
207307,,Deep borehole,Borehole or tubewell
312554,,Yard tap for public use,Piped into public tap or basin
29295,River/Lake,Gravity Communal standpipe,Surface water
15059,River/Lake,Gravity Communal standpipe,Surface water
213283,,Deep borehole,Borehole or tubewell
286028,,Rainwater Harvest Tank,Rainwater
390569,Borehole,IMK II,Borehole or tubewell
8308,,DUG WELL,Unprotected dug well
273861,,Rainwater Harvest Tank,Rainwater
286103,,Rainwater Harvest Tank,Rainwater
325941,gravity fed standpipe,no pump,Piped into public tap or basin
200594,,Hand Dug Well,Unprotected dug well
277560,,Yard tap for public use,Piped into public tap or basin
131088,Tube Well,KABUL,Borehole or tubewell
271711,,Deep borehole,Borehole or tubewell
128638,Tube Well,INDUS,Borehole or tubewell
146875,Tube Well,KABUL,Borehole or tubewell
135140,Tube Well,INDUS,Borehole or tubewell
16061,Shallow well,Nira/Tanira Hand pump,Protected dug well
101043,Protected Well (no pump),Bucket,Protected dug well
213651,,Rainwater Harvest Tank,Rainwater
244351,,Public Stand Post,Public tap or standpipe
54041,Other,Gravity Other,Null
298769,,Rainwater Harvest Tank,Rainwater
271240,,Deep borehole,Borehole or tubewell
219949,,Protected spring,Protected spring
61243,,Non-Mechanized Borehole,Borehole or tubewell
280991,,Public Stand Post,Public tap or standpipe
167143,Manual pump on hand-dug well,Afridev,Protected dug well
274723,,Shallow well,Unprotected dug well
6457,,TUBE WELL,Borehole or tubewell
191637,,DUG WELL,Unprotected dug well
230476,,Deep borehole,Borehole or tubewell
295676,,Protected spring,Protected spring
4208,,TUBE WELL,Borehole or tubewell
280999,,Protected spring,Protected spring
198197,,DUG WELL,Unprotected dug well
214390,,Deep borehole,Borehole or tubewell
319017,,Yard tap for public use,Piped into public tap or basin
313095,,Protected spring,Protected spring
93745,Protected Well (no pump),Bucket,Protected dug well
204441,,Deep borehole,Borehole or tubewell
239257,,Deep borehole,Borehole or tubewell
308968,,Dam,Surface water
335274,Protected dug well,Hand manual,Protected dug well
214136,,Protected spring,Protected spring
16987,Machine-drilled borehole,Windmill Communal standpipe,Borehole or tubewell
337416,Protected dug well,Hand Pump|Afridev,Protected dug well
77092,Pump on hand-dug well,India Mark,Protected dug well
76863,Pump on hand-dug well,India Mark,Protected dug well
309348,,Dam,Surface water
282045,,Protected spring,Protected spring
211779,,Deep borehole,Borehole or tubewell
203992,,Protected spring,Protected spring
229984,,Deep borehole,Borehole or tubewell
144839,Tube Well,PAMIR,Borehole or tubewell
52507,Spring,Gravity Communal stand pipe,Protected spring
275105,,Rainwater Harvest Tank,Rainwater
221409,,Protected spring,Protected spring
51612,Shallow well,Nira/Tanira Hand pump,Protected dug well
83818,Pump on hand-dug well,India Mark,Protected dug well
310707,,Deep borehole,Borehole or tubewell
32893,Dam,Mono Communal standpipe,Surface water
237894,,Deep borehole,Borehole or tubewell
196611,,DUG WELL,Unprotected dug well
59906,,Non-Mechanized Borehole,Borehole or tubewell
93971,Pump on hand-dug well,Unidentified,Protected dug well
218667,,Shallow well,Unprotected dug well
